,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Age_group,distance_group
83,0,1,21,1,0,861,4,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0.0,0,0,0
85,1,0,31,1,1,404,4,4,4,4,4,4,4,4,1,2,2,4,2,4,17,3.0,0,0,0
86,0,0,57,0,1,500,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0.0,1,1,0
87,1,0,44,0,2,689,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0.0,1,1,0
88,1,0,45,1,0,3100,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0.0,0,1,1
90,1,0,60,0,2,931,0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0.0,0,2,0
94,0,0,61,1,2,347,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11.0,0,2,0
101,1,0,19,1,0,2388,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0.0,0,0,1
102,0,0,29,0,2,748,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0.0,1,0,0
103,0,1,27,1,1,1080,3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0.0,1,0,0
104,1,1,22,1,0,231,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0.0,0,0,0
105,0,0,15,0,2,551,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0.0,1,0,0
106,1,1,11,1,2,972,1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0.0,1,0,0
109,0,0,26,0,2,1144,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0.0,1,0,0
110,1,0,53,1,0,2332,5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,3.0,0,1,1
112,1,0,32,1,0,1750,1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0.0,1,0,1
114,0,0,35,1,0,2128,2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0.0,0,0,1
115,1,0,15,0,2,235,2,4,2,1,1,2,1,1,3,3,4,4,4,1,1,10.0,1,0,0
116,1,0,52,0,2,689,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0.0,1,1,0
117,1,0,45,1,0,1852,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0.0,0,1,1
119,0,0,46,1,0,3705,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,0.0,1,1,1
120,1,1,26,1,2,416,3,0,3,3,1,3,1,1,3,5,2,3,3,1,0,9.0,1,0,0
121,1,0,28,1,2,337,4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0.0,1,0,0
122,1,0,11,0,2,335,1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0.0,1,0,0
123,1,0,45,1,0,1400,5,5,5,5,2,5,5,4,4,4,4,3,4,5,4,9.0,0,1,0
125,0,0,34,1,0,374,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0.0,0,0,0
126,1,0,51,1,0,308,2,2,2,2,4,5,5,4,4,4,4,3,4,5,17,8.0,0,1,0
128,1,0,22,0,2,618,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0.0,1,0,0
129,1,0,8,1,2,1304,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0.0,0,0,0
130,1,1,26,1,0,351,4,4,4,3,2,4,2,2,4,5,4,4,5,2,4,11.0,0,0,0
131,0,0,22,0,2,549,4,0,4,3,3,4,1,3,3,2,5,4,5,3,15,3.0,1,0,0
133,1,0,31,1,0,1620,3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0.0,1,0,1
134,0,0,44,0,2,326,2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0.0,1,1,0
135,1,0,27,1,0,588,2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0.0,0,0,0
136,0,0,47,1,0,1020,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0.0,0,1,0
137,1,0,24,1,0,2903,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0.0,1,0,1
139,1,0,32,1,0,3037,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0.0,0,0,1
141,1,0,12,0,2,978,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0.0,1,0,0
142,0,0,56,1,0,2568,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0.0,1,1,1
143,0,0,58,0,0,371,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0.0,1,1,0
145,1,0,68,0,2,480,3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6.0,1,2,0
146,1,0,46,1,0,1786,1,1,1,1,3,5,5,5,5,5,5,5,5,3,1,7.0,0,1,1
147,1,0,43,1,0,1849,2,2,2,2,2,4,4,3,3,4,3,3,3,4,0,7.0,0,1,1
148,0,0,55,1,0,3634,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0.0,0,1,1
149,0,0,54,0,0,844,4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0.0,1,1,0
150,0,0,42,1,0,3094,5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,10.0,0,1,1
152,0,1,29,1,0,1035,1,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0.0,1,0,0
154,0,0,50,1,0,3175,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0.0,0,1,1
157,1,1,24,1,2,446,3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0.0,1,0,0
158,0,0,60,1,0,1071,2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0.0,0,2,0
159,0,0,42,0,2,728,2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3.0,1,1,0
160,0,0,57,1,0,2585,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0.0,0,1,1
161,0,0,42,1,0,707,2,2,4,2,2,5,4,3,3,4,3,4,3,3,27,11.0,0,1,0
162,1,1,20,1,2,861,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0.0,0,0,0
163,0,0,51,0,2,719,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0.0,1,1,0
164,1,0,45,1,0,1790,2,5,2,2,2,4,5,5,5,5,5,3,5,4,0,0.0,0,1,1
167,0,0,24,0,2,1660,2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2.0,1,0,1
170,0,0,39,1,0,1487,3,3,3,3,4,4,5,4,4,4,4,4,4,3,7,0.0,0,0,0
171,0,0,49,1,0,317,0,1,1,1,3,4,5,4,4,4,4,4,4,5,0,0.0,0,1,0
172,0,0,48,0,2,844,3,4,4,3,4,4,4,4,4,4,4,3,4,3,0,1.0,1,1,0
174,0,0,25,1,0,2748,4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0.0,0,0,1
175,0,0,16,1,0,1503,3,5,5,5,3,3,3,3,2,4,3,2,3,3,0,0.0,1,0,1
176,1,0,58,1,0,1717,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0.0,0,1,1
177,1,1,8,1,0,1117,4,3,4,3,3,4,3,3,4,5,4,4,3,3,0,7.0,1,0,0
179,0,0,52,1,0,2768,4,1,1,1,2,4,4,4,4,3,4,2,4,4,0,0.0,1,1,1
180,0,0,47,1,2,370,5,3,3,3,2,1,1,5,5,5,5,3,5,4,0,0.0,0,1,0
182,0,0,47,0,2,1023,2,3,3,3,5,3,3,4,4,3,1,3,4,4,0,0.0,1,1,0
183,0,0,41,1,0,3636,1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0.0,0,1,1
184,0,0,40,0,2,1325,4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,9.0,1,1,0
186,1,0,41,1,0,1052,2,2,2,2,4,4,4,4,4,4,4,3,4,4,6,0.0,0,1,0
188,1,0,12,0,0,817,2,3,2,2,1,2,1,1,1,3,5,3,2,1,0,0.0,1,0,0
189,1,0,59,0,2,516,4,5,3,4,1,3,1,1,5,3,4,5,4,1,3,0.0,0,1,0
191,1,0,12,0,2,462,2,4,2,3,2,2,2,2,3,4,2,2,1,2,0,0.0,1,0,0
192,1,0,31,1,2,361,1,5,5,5,1,1,1,1,2,5,3,4,4,1,0,0.0,1,0,0
193,0,0,37,0,2,125,3,2,3,3,2,3,2,2,3,3,3,4,3,2,6,4.0,1,0,0
194,0,0,38,0,2,271,4,0,5,3,2,5,2,2,4,2,4,3,5,2,0,0.0,0,0,0
195,1,0,45,0,2,173,2,5,0,1,2,0,5,2,5,5,4,4,4,2,0,0.0,1,1,0
196,1,0,43,1,0,1950,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0.0,0,1,1
198,0,0,57,1,0,153,3,4,4,4,5,3,4,2,2,2,3,4,2,2,0,0.0,1,1,0
200,0,0,45,1,0,3732,5,5,5,5,5,5,5,5,5,5,5,3,5,4,17,0.0,0,1,1
203,1,0,23,1,0,3073,4,4,1,4,5,5,5,5,1,3,1,3,3,5,0,3.0,0,0,1
204,0,0,16,0,2,1379,2,5,2,2,2,2,2,2,5,2,4,3,5,2,2,0.0,1,0,0
205,1,0,23,1,2,631,2,2,2,2,2,1,1,2,3,5,4,3,4,2,0,8.0,1,0,0
206,1,0,45,0,2,666,2,5,2,4,4,2,4,4,4,5,5,4,5,4,0,0.0,1,1,0
207,0,0,46,1,0,2820,2,2,2,2,2,1,2,5,5,5,5,2,5,3,1,0.0,0,1,1
208,0,0,49,0,2,577,2,5,2,2,3,4,5,1,1,2,1,4,1,3,23,2.0,1,1,0
209,0,0,40,1,0,2808,4,3,3,3,3,3,4,3,3,3,4,4,3,3,7,2.0,1,1,1
210,0,0,19,1,0,2172,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0.0,0,0,1
211,0,0,48,0,2,1192,4,2,4,3,4,3,3,1,1,4,2,3,1,1,0,0.0,1,1,0
212,0,0,64,1,0,1773,2,4,3,4,5,3,3,2,2,3,2,4,2,4,0,0.0,1,2,1
217,1,0,29,0,2,1020,1,4,1,4,1,1,1,1,3,3,3,4,3,1,0,0.0,1,0,0
218,1,0,47,1,1,368,5,1,2,1,4,5,4,4,5,5,2,4,3,4,0,0.0,0,1,0
219,1,0,50,0,1,1448,2,3,2,5,4,2,4,4,4,3,4,3,1,4,20,4.0,1,1,0
220,0,0,18,0,2,1127,2,5,2,3,3,2,3,3,4,4,4,3,5,3,0,0.0,1,0,0
221,0,0,20,0,2,545,2,0,2,3,5,2,1,5,3,4,3,3,1,5,4,0.0,1,0,0
222,0,0,41,1,0,3238,2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0.0,0,1,1
223,0,0,12,0,2,2466,2,4,2,3,1,2,1,1,4,4,5,4,4,1,0,0.0,1,0,1
224,0,0,36,0,2,2715,2,3,2,3,2,3,2,4,5,3,3,2,3,2,0,0.0,1,0,1
225,1,0,49,1,0,337,3,4,3,3,4,5,5,4,4,4,4,5,4,3,10,0.0,0,1,0
226,0,0,55,0,2,1608,2,2,2,4,2,3,4,5,5,2,5,3,5,2,0,0.0,1,1,1
228,0,1,49,1,0,980,2,2,2,2,3,2,3,3,3,5,5,4,4,3,11,6.0,1,1,0
229,0,1,35,1,2,1462,1,1,1,1,3,1,3,3,1,5,1,3,2,3,0,0.0,1,0,0
230,1,0,45,1,0,1521,1,1,3,1,3,5,4,5,5,5,5,4,5,4,0,0.0,0,1,1
233,1,0,35,1,0,2398,2,4,2,4,1,3,2,2,2,2,2,4,2,3,0,9.0,1,0,1
235,1,0,48,1,0,1722,4,5,4,4,4,2,3,4,4,4,4,2,4,1,0,0.0,0,1,1
237,1,0,30,0,1,163,3,5,3,2,1,3,1,1,4,2,4,5,5,1,9,11.0,1,0,0
239,1,1,23,1,2,416,5,0,5,2,4,5,4,4,3,5,5,3,2,4,18,4.0,0,0,0
240,0,0,37,1,2,977,3,4,4,4,3,3,3,3,2,2,3,3,3,3,0,0.0,1,0,0
241,1,0,23,1,0,3095,5,5,5,5,5,5,3,5,2,5,4,3,3,5,9,0.0,0,0,1
242,1,0,32,1,0,738,4,4,4,4,4,4,4,4,4,2,4,3,3,4,0,3.0,1,0,0
245,0,0,48,1,0,1943,1,1,1,1,3,5,5,5,5,5,5,4,5,5,0,0.0,0,1,1
248,1,0,22,1,1,493,4,1,5,5,4,4,4,4,2,4,2,3,4,4,19,6.0,0,0,0
250,0,0,19,0,2,405,2,2,2,4,1,2,1,1,3,2,4,4,3,1,0,0.0,1,0,0
251,0,1,26,1,2,1055,3,3,3,4,4,3,4,4,3,5,4,2,4,4,0,0.0,1,0,0
253,0,0,34,1,0,589,5,5,5,5,1,1,5,5,5,5,5,5,5,5,0,11.0,0,0,0
254,0,0,45,1,0,1587,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0,0,1,1
255,1,0,51,1,0,3090,2,4,4,4,3,3,4,2,2,2,2,4,2,1,0,0.0,1,1,1
257,0,0,12,0,2,719,3,4,3,3,1,3,1,1,5,2,4,4,4,1,0,0.0,1,0,0
259,1,0,45,1,2,550,4,2,4,4,4,4,4,4,4,4,3,5,5,4,0,0.0,0,1,0
261,0,0,53,0,2,552,4,4,4,1,4,5,4,5,5,4,5,4,5,5,0,0.0,1,1,0
262,0,1,33,1,0,356,3,3,3,4,4,3,4,4,4,5,5,5,5,4,12,0.0,1,0,0
264,1,0,54,1,0,1545,2,2,2,2,5,5,5,5,5,5,5,4,5,4,1,0.0,0,1,1
267,0,0,35,1,0,1658,2,2,5,2,1,2,1,5,5,5,3,3,5,3,6,6.0,0,0,1
270,1,0,58,1,0,813,1,1,1,1,5,5,5,3,3,3,3,5,3,3,0,0.0,0,1,0
271,0,0,55,0,2,349,2,3,2,3,2,3,5,2,2,2,2,5,2,3,0,0.0,1,1,0
273,0,0,15,0,2,89,3,5,3,4,5,3,1,5,5,5,4,3,5,5,0,0.0,1,0,0
276,1,0,30,1,0,3131,1,1,1,1,5,4,5,5,5,5,4,5,5,5,7,0.0,0,0,1
277,0,0,42,1,2,718,5,1,4,1,3,3,3,5,5,5,5,3,5,1,0,0.0,0,1,0
279,1,0,47,1,0,3496,2,2,2,2,2,4,5,5,5,5,5,4,5,4,0,2.0,0,1,1
281,0,0,25,0,2,2845,3,0,3,5,3,3,3,1,1,3,2,3,3,3,0,1.0,1,0,1
284,0,0,69,1,2,735,1,4,4,4,3,3,4,1,1,1,1,4,1,2,12,4.0,1,2,0
287,0,1,37,1,0,372,5,5,5,4,4,5,4,4,4,4,5,3,4,4,11,0.0,0,0,0
288,0,0,69,0,2,1072,1,5,1,5,4,4,4,1,1,1,1,4,1,4,18,7.0,1,2,0
290,1,0,51,1,1,1075,2,4,1,4,2,2,2,2,1,2,4,4,3,2,5,0.0,1,1,0
292,1,1,39,1,0,140,4,4,4,3,4,4,2,4,3,4,4,4,4,4,0,7.0,0,0,0
294,1,0,46,1,0,2423,4,4,4,4,2,4,4,4,4,4,4,5,4,5,1,0.0,0,1,1
296,1,0,60,1,0,2198,3,3,3,3,3,4,4,4,4,4,4,3,4,3,23,4.0,0,2,1
298,1,0,52,0,2,685,4,4,4,5,4,4,4,4,3,4,5,5,4,4,0,0.0,0,1,0
299,1,0,36,1,2,1208,4,5,5,5,4,4,4,4,2,1,2,2,3,4,3,0.0,0,0,0
300,1,0,41,1,0,2789,3,3,2,3,4,3,3,4,4,3,4,3,4,5,10,0.0,0,1,1
301,1,0,45,1,0,3305,2,2,2,2,3,5,5,4,4,4,4,4,4,3,8,0.0,0,1,1
303,0,0,45,1,0,3712,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0,0,1,1
306,0,0,30,1,0,3720,2,1,1,1,2,3,2,2,2,4,3,3,4,2,27,12.0,1,0,1
308,0,0,32,1,0,2999,2,2,2,2,4,4,4,4,3,4,5,3,4,4,28,11.0,0,0,1
310,0,1,40,1,0,156,1,1,1,5,4,1,2,4,2,4,5,5,2,4,0,0.0,1,1,0
313,1,0,50,1,0,1235,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0,0.0,0,1,0
314,0,0,18,0,1,549,2,5,2,3,2,2,2,2,5,5,4,5,4,2,0,0.0,1,0,0
315,1,0,30,1,0,1500,3,3,3,3,5,4,5,5,4,3,4,3,5,5,0,0.0,0,0,1
316,0,1,26,1,2,190,3,2,3,3,1,3,1,1,4,5,4,3,3,1,0,0.0,1,0,0
317,1,1,37,1,0,468,4,4,4,4,4,4,4,4,4,4,4,4,5,4,0,0.0,0,0,0
318,1,0,64,0,2,261,1,4,0,3,1,0,1,1,3,1,3,3,4,1,0,0.0,1,2,0
319,1,1,21,1,0,255,5,0,5,1,2,5,2,2,5,4,5,3,4,2,0,0.0,0,0,0
321,0,0,52,1,0,413,5,5,5,5,5,5,4,5,5,5,5,4,5,3,4,2.0,0,1,0
322,0,0,29,0,2,119,2,2,2,2,5,2,2,5,4,5,3,2,3,5,0,0.0,1,0,0
324,1,0,28,1,0,1087,1,1,3,1,5,5,5,5,3,2,4,5,5,5,0,0.0,0,0,0
325,1,0,13,0,2,323,2,4,2,3,2,2,2,2,1,5,4,4,4,2,15,7.0,1,0,0
327,1,0,58,1,0,1721,3,3,3,3,3,4,5,4,4,4,4,4,4,5,18,0.0,0,1,1
328,1,1,24,1,2,347,3,0,3,1,5,3,5,5,3,5,4,5,3,5,0,0.0,1,0,0
329,1,0,25,1,0,3465,2,4,4,4,2,2,2,2,4,5,3,4,3,2,0,0.0,1,0,1
330,1,0,34,0,2,948,2,4,2,2,4,2,4,4,4,3,4,3,5,4,0,0.0,1,0,0
331,0,0,44,1,0,1707,5,5,5,5,5,5,3,5,5,5,5,2,5,3,0,0.0,0,1,1
332,0,0,23,0,1,1372,3,5,3,1,1,3,1,1,3,2,3,4,5,1,0,0.0,1,0,0
333,1,1,20,1,0,369,5,3,5,4,1,5,1,1,5,2,4,4,4,1,0,0.0,0,0,0
334,1,0,8,0,2,552,4,3,4,1,3,4,3,3,3,2,2,3,5,3,0,11.0,1,0,0
336,1,0,43,1,2,1005,4,4,4,4,5,4,5,5,4,1,4,3,3,5,0,1.0,1,1,0
338,0,0,48,1,2,896,2,4,4,4,4,2,4,2,2,2,2,5,2,1,12,8.0,0,1,0
339,1,0,27,0,2,429,4,5,4,3,3,4,1,3,5,3,4,4,4,3,0,0.0,1,0,0
342,1,1,16,1,0,1107,3,4,3,3,1,3,3,1,1,5,3,2,4,1,0,0.0,1,0,0
343,0,1,36,1,0,327,2,2,2,3,5,2,5,5,5,4,5,3,4,5,0,0.0,1,0,0
344,1,0,55,0,0,432,4,4,2,1,5,4,4,3,3,2,2,4,3,5,0,0.0,1,1,0
345,0,1,23,1,2,577,0,0,1,1,5,1,5,5,4,2,4,2,1,5,0,0.0,0,0,0
347,0,0,45,1,0,1123,5,5,5,5,2,5,4,5,5,5,5,5,5,3,0,5.0,0,1,0
348,1,0,57,1,0,1749,1,1,1,1,4,5,5,5,5,5,5,4,5,4,19,5.0,0,1,1
351,0,0,34,1,0,1825,2,2,2,2,3,3,5,5,5,4,5,3,5,3,13,0.0,0,0,1
353,1,0,45,1,0,679,4,4,4,4,4,5,4,5,5,5,5,3,5,4,0,6.0,0,1,0
354,0,0,59,1,0,812,2,2,2,2,4,4,5,2,2,2,2,5,2,4,0,3.0,0,1,0
355,1,0,39,1,2,1056,5,3,3,3,5,5,5,5,3,2,4,5,2,5,20,9.0,0,0,0
356,1,0,28,1,0,101,2,1,1,1,2,2,2,2,2,2,3,2,4,2,0,0.0,1,0,0
359,0,0,24,1,2,287,1,1,0,3,5,0,5,5,2,2,2,2,2,5,0,8.0,1,0,0
361,0,1,25,1,2,317,0,4,0,4,5,0,5,5,5,1,2,4,3,5,9,5.0,0,0,0
362,1,0,22,1,0,2027,2,2,2,2,4,4,4,4,5,3,4,4,4,4,7,2.0,0,0,1
363,1,0,55,1,0,936,3,3,3,3,5,5,5,3,3,3,3,5,3,5,0,0.0,0,1,0
365,0,0,46,1,0,888,3,3,3,3,5,4,4,4,4,4,4,3,4,4,0,0.0,0,1,0
366,1,0,62,0,2,1061,0,5,0,3,5,0,5,5,4,4,5,5,5,5,0,0.0,0,2,0
367,0,0,53,1,0,216,5,5,4,5,5,5,4,5,5,5,5,5,5,4,0,0.0,0,1,0
368,0,0,50,1,0,1814,3,3,3,3,2,5,4,5,5,5,5,5,5,4,0,0.0,0,1,1
369,1,0,57,1,0,2993,5,5,5,5,2,4,2,4,4,4,4,4,4,3,0,6.0,0,1,1
370,0,0,54,1,0,2632,3,3,3,3,2,5,4,3,3,4,3,3,3,5,0,0.0,0,1,1
371,0,0,42,1,0,199,1,1,1,1,5,4,5,5,5,5,4,5,5,5,0,0.0,0,1,0
373,0,0,53,1,0,581,1,1,1,1,3,4,4,4,4,4,4,3,4,3,1,0.0,0,1,0
375,0,0,37,1,1,174,5,3,5,3,5,5,5,5,5,1,5,3,5,5,0,0.0,0,0,0
376,1,0,35,1,2,326,4,2,2,2,4,4,4,4,2,5,5,5,3,4,0,0.0,0,0,0
377,1,0,30,1,0,1821,1,1,1,1,2,2,1,2,1,2,2,4,2,2,5,7.0,1,0,1
378,0,0,16,0,2,1437,1,5,0,4,5,0,5,5,3,3,4,4,4,5,0,0.0,1,0,0
381,1,0,70,0,2,1892,1,4,1,3,1,1,1,1,4,4,4,4,3,1,0,0.0,1,2,1
383,1,0,46,1,0,2491,3,3,3,3,4,4,5,4,4,4,4,5,4,3,0,0.0,0,1,1
